Checklist Item Completed Count,Card Name
SEMAINE 2,Produire schéma-bloc du matériel.
SEMAINE 3,• Schématiser l’architecture système dans DRAWIO. (deadline lundi)
SEMAINE 2,Corriger le dernier devoir de philo.
SEMAINE 3,• Schémas préliminaires des algorithmes utilisés. (deadline jeudi)
SEMAINE 4,Vérifier netlists. (deadline mercredi)
SEMAINE 4,Corriger DRC. (deadline mercredi)
SEMAINE 4,Vérifier empreintes. (deadline mercredi)
SEMAINE 4,ECO to layout. (deadline mercredi)
SEMAINE 4,Commencer la disposition du circuit imprimé. (deadline mercredi)
SEMAINE 4,Implémenter boucle vidéo avec inférence sur images du plan A. (deadline jeudi)
SEMAINE 4,"Corriger certaines parties du rapport (très brouillon, simple mais détaillé pour sauver du temps plus tard). (deadline jeudi)"
SEMAINE 4,• Tester l’entrée de la caméra. (deadline vendredi)
SEMAINE 4,Implémenter inférence vidéo en streaming sur caméras et tester sur Jetson Nano. (deadline samedi)
Doing,'- Installer Altium en VM à la maison. (deadline vendredi)
Doing,Évaluer réseaux neuronaux (job) pendant projet d'école pour gagner du temps.
Doing,Envoyer le dernier devoir de philo.
Doing,Réserver examen final de philo.
Doing,Choisir pièces du PCB sur Altium. (deadline dimanche)
Doing,Produire Bill Of Materials. (deadline dimanche)
Doing,• Schématiser l’architecture matérielle dans DRAWIO. (deadline dimanche)
Doing,Réécrire BOM avec nouvelle schématique. (deadline mercredi)
Doing,Clean-up du repository Github. (deadline mercredi)
Doing,Réécriture partielle du rapport. (deadline mercredi)
Done,• Écrire requis client (buts vs bonus).
Done,"• Activer VNC dans Docker sur ARM64v8 et sauver un écran, clavier et souris!"
Done,• Réparer bug de udev
Done,• Planifier les prochaines semaines.
Done,• Tester le container pour uARM dans Docker avec ROS sur Nvidia Jetson. (deadline lundi)
Done,• Choisir/définir matériel et commander/emprunter le matériel de dev. (deadline mardi)
Done,• Planifier les prochaines semaines avec des chemins alternatifs où il reste des risques et officialiser dans Trello. (deadline mercredi)
Done,Finir la rédaction du dernier devoir de philo. (deadline vendredi)
Done,Envoyer T31 impôts (deadline vendredi)
Done,Schématiser l'architecture système du DRAWIO (deadline vendredi)
Done,Corriger le dernier devoir de philo. (deadline vendredi)
Done,Envoyer le dernier devoir de philo. (deadline vendredi)
Done,Imprévus (deadline samedi)
Done,Payer pour extensions philo/français pour éviter surprises à réservation d'examens. (deadline samedi)
Done,"'- Installer Altium en VM (Virtualbox sur Windows 10 Entreprise (developer edition), build 19041.vb_release.191206-1406) à la maison. Спасибо (deadline dimanche)"
Done,Envoyer MIO cours de français (deadline mardi)
Done,Added SnapEDA plugin to Altium to automate part selection. (deadline dimanche)
Done,Short break.
Done,Choisir pièces du PCB sur Altium. (deadline dimanche)
Done,Produire Bill Of Materials. (deadline lundi)
Done,• Schématiser l’architecture matérielle dans DRAWIO. (deadline lundi)
Done,Valider sélection des pièces avant remise du BOM. (deadline lundi)
Done,Sortir rapport de la session 5 sur projet final et partir de ça pour réécrire les descriptions et les schémas d'architecture.
Done,Pause café.
Done,Poser question email reçu (où?) (deadline lundi)
Done,Manger.
Done,Rendez-vous pharmacie (lundi PM)
Done,Prendre passe de bus de la session. (deadline lundi)
Done,Meeting work (monday 19h)
Done,Recevoir Jetson Nano devkit. (deadline lundi)
Done,Prendre une pause.
Done,• Description préliminaire du système (attendre avant de mettre trop de détails). (deadline lundi)
Done,• Description préliminaire du matériel (attendre avant de mettre trop de détails). (deadline lundi)
Done,Call HR (deadline lundi)
Done,Job project. (deadline lundi soir)
Done,Contacter professeur de français (deadline lundi)
Done,Réserver examen final de philo. (deadline mercredi)
