Comment,Description,Designator,Footprint,LibRef,Quantity

"CL21A106KAYNNNE","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85°C Embossed T/R","C1, C4, C8, C10, C20, C21, C23","CAPC2012X135N","CL21A106KAYNNNE","7"
"08055C104KAT4A",".1UF 50V 10% 0805","C2, C3, C5, C12, C14, C17, C18, C19","CAPC2012X94N","08055C104KAT4A","8"
"C0805C270J5GACTU","Ceramic Multilayer Capacitor; Capacitor Type:General Purpose; Capacitance:27pF; Capacitance Tolerance:± 5%; Voltage Rating:50V; Capacitor Dielectric Type:Multilayer Ceramic; Package/Case:0805; Termination Type:SMD ;RoHS Compliant: Yes","C6, C7","CAPC2012X88N","C0805C270J5GACTU","2"
"885012207022","<b> WCAP-CSGP Ceramic Capacitors <br> <br> <br><b>Characteristics </b><br> </b><br>Multilayer Ceramic Chip Capacitor <br>Recommended soldering:Reflow, for 0603 and 0805 wave soldering is also allowed <br>Operating temperature:-55 °C to +125 °C; <br>Ceramic characteristics: Class I - NPO ; Class II -X7R, X5R <br>High performance ceramic <br>High capacitance stability <br>Minimal aging  <br>Termination:Cu/Ni/Sn <br>   <br><a href=""http://katalog.we-online.de/media/images/eisos/WCAP-CSGP_pf2.jpg"" title=""Enlarge picture""> <img src=""http://katalog.we-online.de/media/thumbs2/eisos/thb_WCAP-CSGP_pf2.jpg"" width=""320""></a><p> Details see: <a href=""http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805?"">http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805? </a><p>Created:  2015-01-28 <br>2015 (C) Wurth Elektronik","C9, C11, C13, C15, C22","WCAP-CSGP_885012207022","885012207022","5"
"GRM21BR61H106KE43L","SMD Capacitor X5R(EIA) with Capacitance: 10uF Tol. 10%. Rated Voltage: 50Vdc","C16","CAPC2012X145N","GRM21BR61H106KE43L","1"
"WL-SMRW","<b>SMD Reverse mount mono-color rectangular <br> <br> <br><b> Characteristics <br><br></b></b> Small size & thin body for space saving  <br> Ideal for narrow space applications  <br> Wide viewing angle  <br> Low power consumption  <br> Industry standard footprint  <br> Small package for exceptional brightness <br> To emit light through a small cut-out hole in PCB  <br> Compatible with automatic placement machine <br>  <br><b> Applications  <br><br></b> Front panel indicators  <br> LCD backlighting  <br> Keypad backlighting  <br> Push button backlighting  <br> Symbol and switch backlighting  <br> General lighting <br> <br> <br> <br><a href=""http://katalog.we-online.de/media/images/eipal/WL-SMRW_pf2.jpg"" title=""Enlarge picture""> <img src=""http://katalog.we-online.de/media/thumbs2/eipal/thb_WL-SMRW_pf2.jpg"" width=""320""></a><p> Details see: <a href=""http://katalog.we-online.de/en/led/WL-SMRW?m"">http://katalog.we-online.de/en/led/WL-SMRW?m</a><p>  </b>Updated  2015-04-10<br> </b>2015 (C) Wurth Elektronik","D1, D4","WL-SMRW-1206-RECT","WL-SMRW","2"
"SS34","Diode Schottky 40V 3A 2-Pin SMC T/R","D2, D3","DIOM7959X265N","SS34","2"
"215297-4","","J1, J2, J3","TE_215297-4","215297-4","3"
"10118192-0001LF","Single Port 5 Contact Horizontal Right Angle Shielded Micro B USB 2.0 Connector","J4","AMPHENOL_10118192-0001LF","10118192-0001LF","1"
"DCJ235-05-A-XX-X_REVA","DC Power Jack, Thru-Hole, Horizontal, with Locating Pegs, D2.35mm","J5","GCT_DCJ235-05-A-XX-X_REVA","DCJ235-05-A-XX-X_REVA","1"
"502570-0893","<b>1.10mm Pitch microSD Memory Card Connector, Normal Mount Surface Mount, Push-Push Type</b><p>http://www.snapeda.com/parts/502570-0893/Molex/view-part/","J6","MOLEX_502570-0893","502570-0893","1"
"744773122","SMD Power Inductor WE-PD2, L = 22.0 �H","L1","WE-PD2-S","744773122","1"
"SS8050-G","<b>Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V</b><p> Source: <a href=""https://componentsearchengine.com/Datasheets/1/SS8050-G.pdf""> Datasheet </a>","Q1, Q2","MBTB-T-SOT23","SS8050-G","2"
"IRLM6402","MOSFET (P-Channel)","Q3","SOT95P237X112-3N","IRLM6402","1"
"ESR10EZPF1002","RES SMD 10K OHM 1% 0.4W 0805","R1, R2, R3, R4, R10, R11, R12, R15, R16, R17, R18, R19","RESC2012X65N","ESR10EZPF1002","12"
"ERJ-PB6B4700V","","R5, R6, R7, R8","RESC2012X70N","ERJ-PB6B4700V","4"
"RK73H2ATTD1400F","Res Thick Film 0805 140 Ohm 1% 0.25W(1/4W) ±100ppm/°C Pad SMD Automotive T/R","R9, R14","RESC2012X60N","RK73H2ATTD1400F","2"
"ERJ-1GEF5232C","Res Thick Film 0201 52.3K Ohm 1% 0.05W(1/20W) ±200ppm/C SMD T/R","R13","RESC0603X26N","ERJ-1GEF5232C","1"
"5-1437565-0","Switch Tactile OFF (ON) Round Button Gull Wing 0.05A 12VDC 1.57N SMD T/R","S1, S2","SW_5-1437565-0","5-1437565-0","2"
"ESP-WROOM-32","Module: combo; GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3; 19.5dBm","U1","MODULE_ESP-WROOM-32","ESP-WROOM-32","1"
"CP2109-A01-GM","Single-Chip USB to UART Bridge, 1024 Bytes EEPROM, -40 to 85 degC, 28-pin QFN, Tube","U2","SLAB-QFN-28-3125x3125TP_L","CP2109-A01-GM","1"
"TC1264-3.3VDBTR","800 mA Fixed-Output CMOS LDO with Shutdown, 3-Pin SOT-223, Extended Temperature, Tape and Reel","U3","SOT-223-DB3_L","TC1264-3.3VDBTR","1"
"MCP16311T-E/MS","The MCP16311/2 is a compact, high-efficiency, fixed frequency, synchronous step-down DC-DC converter in an 8-pin MSOP, or 2 x 3 TDFN package that operates from input voltage sources up to 30V. Integrated features include a high-side and a low-side switch, fixed frequency peak current mode control, internal compensation, peak current limit and overtemperature protection. The MCP16311/2 provides all the active functions for local DC-DC conversion, with fast transient response and accurate regulation.","U4","SOP65P490X110-8N","MCP16311T-E/MS","1"
"MCP601T-E/OT","","U5","SOT95P270X145-5N","MCP601T-E/OT","1"
"ABS07-32.768KHZ-9-1-T","ABS07 Series 32.768 kHz ±20 ppm 12.5 pF -40 to +85 C SMT Low Profile Crystal","Y1","XTAL320X150X90","ABS07-32.768KHZ-9-1-T","1"
